SPI12,Nino34,PDO,SAM,DMI
-0.163457046,-0.93,-0.25,-1.349,-0.363
-0.170865685,-0.64,-0.7,-1.554,0.014
-0.208176318,-0.79,0.18,-2.235,-0.324
-0.526204241,-1.17,-0.37,-1.694,-0.186
-0.203969095,-1.41,-0.06,-0.317,-0.308
-0.134168763,-1.04,-0.28,-1.285,-0.244
0.088581851,-0.88,0.03,-2.844,-0.713
-0.336975045,-0.9,-0.06,-1.018,-0.511
-0.24102,-1.29,0.4,1.333,-0.632
-0.493593257,-0.94,-0.66,0.496,-0.661
-0.658106349,-0.53,0.02,-0.726,-0.406
-0.520602679,-0.64,0.84,-0.951,-0.058
-0.501094577,-0.57,-1.11,-1.651,0.005
-0.610621081,-0.58,0,-1.283,-0.306
-0.627575182,-0.82,-0.78,0.258,-0.562
-0.630639612,-1.11,-0.73,-3.211,-0.539
-0.686313137,-1.05,0.17,-0.018,-0.214
-0.813582958,-0.64,0.02,0.402,-0.6
-0.996009901,-0.22,0.48,-0.243,-0.451
-1.006816716,-0.28,0.43,0.736,-0.289
-1.169923281,0.22,0.29,-0.606,-0.157
-1.355772215,0.2,0.2,-1.957,-0.283
-1.629778431,0.84,-0.86,-4.451,0.031
-1.625644109,0.96,0.01,-5.85,0.076
-1.672990584,1.55,-1.72,-1.055,-0.077
-1.424164256,0.83,-0.23,-0.923,-0.115
-0.592362668,0.69,-0.04,-0.965,0.106
-0.149655367,0.58,-0.38,-0.962,-0.062
-0.414445838,0,-0.02,1.356,0.151
-0.698660135,-0.24,0.77,1.432,0.21
-0.590113999,-0.1,1.07,0.68,-0.352
-0.698625069,-0.4,-0.84,-1.495,-0.465
-0.660244994,0.09,0.94,-4.292,-0.34
-0.641970517,-0.13,0.56,-0.97,-0.222
-0.581571048,0.16,0.74,-2.038,-0.463
-0.650629244,-0.49,0.98,-1.549,-0.265
-0.586324949,-0.2,-0.03,-1.329,-0.051
-0.784346408,0.18,0.34,-2.797,0.051
-1.45699535,0.16,0.06,-4.942,0.026
-1.2289438,-0.77,-0.92,-1.469,-0.071
-1.351688537,-0.28,0.66,-0.607,0.028
-1.233219006,-0.16,1.43,-1.322,0.31
-1.546872346,-0.15,1.06,-2.05,-0.029
-1.239169808,-0.09,1.29,-3.237,-0.184
-0.952040702,0.05,0.73,-1.018,-0.085
-0.750926768,0.03,0.62,-2.106,0.241
-0.737920852,0.8,0.75,-4.818,0.021
-0.472019119,0.85,0.9,-4.565,-0.023
-0.501633323,0.7,0.34,-2.202,-0.101
-0.441341414,0.8,-0.29,-3.813,0.01
-0.466779855,0.32,0.08,-4.104,-0.184
-0.998875406,0.69,1.2,-3.597,-0.039
-1.118866077,0.01,0.11,-0.405,0.113
-1.240038966,0.08,0.11,-2.097,0.754
-1.060864494,0.53,-0.21,-2.734,0.397
-0.853125655,0.92,0.11,-1.91,0.263
-1.195050558,0.68,-0.34,-0.357,0.316
-1.234696801,0.26,-0.11,-0.831,0.314
-0.465720871,0.3,0.03,-0.504,-0.297
-0.301840642,0.68,0.89,0.034,-0.48
0.404923626,0.88,-0.41,-0.95,-0.443
1.49229064,0.65,0.14,-2.177,-0.505
1.438282455,0.49,-1.22,-2.726,-0.233
1.445601346,0.47,1.4,-3.196,-0.087
1.860713049,0.52,0.32,-1.121,-0.275
2.290138064,1.1,0.99,-0.376,0.016
2.395123864,0.07,1.07,-0.747,-0.388
2.295305016,0.05,0.27,-3.358,-0.136
